scheme_id,fiscal_year,budget_allocated_cr,budget_revised_cr,budget_spent_cr,source
mgnrega,2020-21,61500,111500,98000,Union Budget / Demand for Grants
mgnrega,2021-22,73000,98000,89000,Union Budget / Demand for Grants
mgnrega,2022-23,73000,89400,82000,Union Budget / Demand for Grants
mgnrega,2023-24,60000,86000,82000,Union Budget / Demand for Grants
pmkisan,2020-21,65000,65000,60000,Union Budget / Demand for Grants
pmkisan,2021-22,67500,67500,58000,Union Budget / Demand for Grants
pmkisan,2022-23,68000,68000,57000,Union Budget / Demand for Grants
pmkisan,2023-24,60000,60000,57000,Union Budget / Demand for Grants
pmjay,2020-21,6400,6400,3200,Union Budget / Demand for Grants
pmjay,2021-22,6400,6400,3200,Union Budget / Demand for Grants
pmjay,2022-23,6412,6412,5800,Union Budget / Demand for Grants
pmjay,2023-24,7200,7200,6800,Union Budget / Demand for Grants
sbm,2020-21,6525,6525,5100,Union Budget / Demand for Grants
sbm,2021-22,9994,9994,8200,Union Budget / Demand for Grants
sbm,2022-23,7192,7192,6800,Union Budget / Demand for Grants
sbm,2023-24,7192,7192,6500,Union Budget / Demand for Grants
jjm,2020-21,11500,11500,8000,Union Budget / Demand for Grants
jjm,2021-22,50011,50011,38000,Union Budget / Demand for Grants
jjm,2022-23,60000,60000,52000,Union Budget / Demand for Grants
jjm,2023-24,70000,70000,62000,Union Budget / Demand for Grants
poshan,2020-21,3700,3700,2800,Union Budget / Demand for Grants
poshan,2021-22,20105,20105,15000,Union Budget / Demand for Grants
poshan,2022-23,20263,20263,17500,Union Budget / Demand for Grants
poshan,2023-24,20263,20263,17500,Union Budget / Demand for Grants
nrhm,2020-21,25600,25600,23000,Union Budget / Demand for Grants
nrhm,2021-22,30130,30130,27000,Union Budget / Demand for Grants
nrhm,2022-23,33700,33700,30500,Union Budget / Demand for Grants
nrhm,2023-24,36785,36785,33200,Union Budget / Demand for Grants
samagra,2020-21,28000,28000,25000,Union Budget / Demand for Grants
samagra,2021-22,31050,31050,28000,Union Budget / Demand for Grants
samagra,2022-23,37383,37383,34000,Union Budget / Demand for Grants
samagra,2023-24,37453,37453,34500,Union Budget / Demand for Grants
mdm,2020-21,12900,12900,10000,Union Budget / Demand for Grants
mdm,2021-22,10234,10234,9500,Union Budget / Demand for Grants
mdm,2022-23,10234,10234,9800,Union Budget / Demand for Grants
mdm,2023-24,11600,11600,10800,Union Budget / Demand for Grants
bbbp,2020-21,200,200,160,Union Budget / Demand for Grants
bbbp,2021-22,200,200,170,Union Budget / Demand for Grants
bbbp,2022-23,200,200,165,Union Budget / Demand for Grants
bbbp,2023-24,200,200,170,Union Budget / Demand for Grants
nrlm,2020-21,10025,10025,8500,Union Budget / Demand for Grants
nrlm,2021-22,11500,11500,10200,Union Budget / Demand for Grants
nrlm,2022-23,13336,13336,12000,Union Budget / Demand for Grants
nrlm,2023-24,14129,14129,12800,Union Budget / Demand for Grants
ncap,2020-21,470,470,300,Union Budget / Demand for Grants
ncap,2021-22,460,460,320,Union Budget / Demand for Grants
ncap,2022-23,460,460,340,Union Budget / Demand for Grants
ncap,2023-24,460,460,350,Union Budget / Demand for Grants
